city,date,aqi,co,o3
Ahmedabad,05-04-2021,5,407.22,55.08
Ahmedabad,06-04-2021,5,520.71,58.65
Ahmedabad,07-04-2021,5,407.22,67.23
Ahmedabad,08-04-2021,5,961.3,23.6
Ahmedabad,09-04-2021,5,1201.63,7.42
Ahmedabad,10-04-2021,4,821.11,45.78
Ahmedabad,11-04-2021,5,1348.5,2.06
Ahmedabad,12-04-2021,4,527.38,54.36
Ahmedabad,13-04-2021,4,540.73,79.39
Ahmedabad,14-04-2021,4,627.52,49.35
Ahmedabad,15-04-2021,5,1134.87,19.67
Ahmedabad,16-04-2021,4,447.27,70.1
Ahmedabad,17-04-2021,4,377.18,61.51
Ahmedabad,18-04-2021,5,1148.22,1.59
Ahmedabad,19-04-2021,4,514.03,52.21
Ahmedabad,20-04-2021,4,594.14,40.05
Ahmedabad,21-04-2021,5,1041.41,5.19
Ahmedabad,22-04-2021,5,2109.53,0.01
Ahmedabad,23-04-2021,5,527.38,58.65
Ahmedabad,24-04-2021,4,393.87,66.52
Ahmedabad,25-04-2021,5,2536.77,0
Ahmedabad,26-04-2021,5,1628.88,16.27
Ahmedabad,27-04-2021,5,520.71,67.23
Ahmedabad,28-04-2021,5,674.25,39.34
Ahmedabad,29-04-2021,5,500.68,74.39
Ahmedabad,30-04-2021,5,627.52,60.8
Ahmedabad,01-05-2021,4,494,67.95
Ahmedabad,02-05-2021,5,594.14,68.67
Ahmedabad,03-05-2021,5,907.9,48.64
Ahmedabad,04-05-2021,4,337.12,62.94
Ahmedabad,05-05-2021,4,527.38,45.06
Ahmedabad,06-05-2021,4,540.73,37.55
Ahmedabad,07-05-2021,4,547.41,49.35
Ahmedabad,08-05-2021,4,614.17,43.99
Ahmedabad,09-05-2021,4,423.91,60.08
Ahmedabad,10-05-2021,4,440.6,45.78
Ahmedabad,11-05-2021,4,380.52,51.5
Ahmedabad,12-05-2021,4,380.52,50.78
Ahmedabad,13-05-2021,4,370.5,43.99
Ahmedabad,14-05-2021,4,413.9,27.18
Ahmedabad,15-05-2021,4,520.71,44.35
Ahmedabad,16-05-2021,5,620.84,31.47
Ahmedabad,17-05-2021,2,373.84,50.78
Ahmedabad,18-05-2021,1,377.18,60.8
Ahmedabad,19-05-2021,2,383.85,61.51
Ahmedabad,20-05-2021,4,507.36,53.64
Ahmedabad,21-05-2021,5,487.33,30.4
Ahmedabad,22-05-2021,5,367.17,41.13
Ahmedabad,23-05-2021,5,340.46,44.7
Ahmedabad,24-05-2021,4,387.19,30.4
Ahmedabad,25-05-2021,4,473.98,57.22
Ahmedabad,26-05-2021,4,390.53,51.5
Ahmedabad,27-05-2021,4,353.81,29.33
Ahmedabad,28-05-2021,4,360.49,17.88
Ahmedabad,29-05-2021,4,313.76,22.89
Ahmedabad,30-05-2021,4,307.08,23.96
Ahmedabad,31-05-2021,4,317.1,43.63
Ahmedabad,01-06-2021,4,383.85,51.5
Ahmedabad,02-06-2021,4,283.72,39.7
Ahmedabad,03-06-2021,4,297.07,36.12
Ahmedabad,04-06-2021,4,313.76,33.26
Ahmedabad,05-06-2021,3,287.06,22.53
Ahmedabad,06-06-2021,3,253.68,28.61
Ahmedabad,07-06-2021,2,297.07,27.54
Ahmedabad,08-06-2021,2,333.79,32.9
Ahmedabad,09-06-2021,2,263.69,43.27
Ahmedabad,10-06-2021,2,280.38,29.33
Ahmedabad,11-06-2021,1,257.02,23.6
Ahmedabad,12-06-2021,2,277.04,27.18
Ahmedabad,13-06-2021,3,243.66,31.47
Ahmedabad,14-06-2021,3,313.76,32.54
Ahmedabad,15-06-2021,4,353.81,33.62
Ahmedabad,16-06-2021,3,283.72,32.9
Ahmedabad,17-06-2021,3,300.41,23.96
Ahmedabad,18-06-2021,2,297.07,14.13
Ahmedabad,19-06-2021,2,433.92,11.98
Ahmedabad,20-06-2021,2,460.63,13.23
Ahmedabad,21-06-2021,2,507.36,2.55
Ahmedabad,22-06-2021,5,1268.39,0.03
Ahmedabad,23-06-2021,4,580.79,7.78
Ahmedabad,24-06-2021,3,473.98,17.88
Ahmedabad,25-06-2021,2,377.18,16.81
Ahmedabad,26-06-2021,4,460.63,10.28
Ahmedabad,27-06-2021,2,413.9,15.56
Ahmedabad,28-06-2021,2,357.15,33.62
Ahmedabad,29-06-2021,3,387.19,21.82
Ahmedabad,30-06-2021,2,373.84,36.12
Ahmedabad,01-07-2021,2,440.6,19.67
Ahmedabad,02-07-2021,4,273.71,27.18
Ahmedabad,03-07-2021,3,263.69,22.71
Ahmedabad,04-07-2021,4,313.76,30.4
Ahmedabad,05-07-2021,3,320.44,12.52
Ahmedabad,06-07-2021,3,370.5,20.03
Ahmedabad,07-07-2021,2,367.17,24.32
Ahmedabad,08-07-2021,2,327.11,28.61
Ahmedabad,09-07-2021,3,290.39,27.18
Ahmedabad,10-07-2021,3,343.8,18.24
Ahmedabad,11-07-2021,2,283.72,34.69
Ahmedabad,12-07-2021,4,534.06,0.22
Ahmedabad,13-07-2021,5,1214.98,0
Ahmedabad,14-07-2021,2,330.45,6.62
Ahmedabad,15-07-2021,3,433.92,0.5
Ahmedabad,16-07-2021,5,587.46,9.74
Ahmedabad,17-07-2021,5,514.03,5.01
Ahmedabad,18-07-2021,2,320.44,27.9
Ahmedabad,19-07-2021,2,267.03,36.48
Ahmedabad,20-07-2021,2,283.72,23.25
Ahmedabad,21-07-2021,2,263.69,25.75
Ahmedabad,22-07-2021,4,280.38,22.89
Ahmedabad,23-07-2021,4,317.1,25.75
Ahmedabad,24-07-2021,4,347.14,21.99
Ahmedabad,25-07-2021,3,317.1,18.95
Ahmedabad,26-07-2021,1,290.39,24.68
Ahmedabad,27-07-2021,3,307.08,18.24
Ahmedabad,28-07-2021,4,280.38,17.7
Ahmedabad,29-07-2021,4,263.69,28.97
Ahmedabad,30-07-2021,4,263.69,26.46
Ahmedabad,31-07-2021,4,273.71,22.35
Ahmedabad,01-08-2021,3,253.68,23.6
Ahmedabad,02-08-2021,3,253.68,30.4
Ahmedabad,03-08-2021,2,283.72,27.54
Ahmedabad,04-08-2021,3,333.79,17.17
Ahmedabad,05-08-2021,4,340.46,21.64
Ahmedabad,06-08-2021,4,480.65,13.95
Ahmedabad,07-08-2021,4,720.98,0.64
Ahmedabad,08-08-2021,4,547.41,5.1
Ahmedabad,09-08-2021,3,280.38,12.16
Ahmedabad,10-08-2021,2,373.84,21.82
Ahmedabad,11-08-2021,2,383.85,19.85
Ahmedabad,12-08-2021,3,440.6,23.96
Ahmedabad,13-08-2021,2,393.87,27.18
Ahmedabad,14-08-2021,3,473.98,23.96
Ahmedabad,15-08-2021,2,410.56,24.32
Ahmedabad,16-08-2021,2,337.12,20.56
Ahmedabad,17-08-2021,3,397.21,20.56
Ahmedabad,18-08-2021,2,387.19,29.68
Ahmedabad,19-08-2021,2,370.5,23.96
Ahmedabad,20-08-2021,2,327.11,15.38
Ahmedabad,21-08-2021,2,333.79,14.66
Ahmedabad,22-08-2021,4,841.14,0.01
Ahmedabad,23-08-2021,1,350.48,14.66
Ahmedabad,24-08-2021,2,383.85,22.89
Ahmedabad,25-08-2021,2,343.8,27.9
Ahmedabad,26-08-2021,3,514.03,5.99
Ahmedabad,27-08-2021,2,433.92,12.34
Ahmedabad,28-08-2021,2,300.41,12.7
Ahmedabad,29-08-2021,2,263.69,18.95
Ahmedabad,30-08-2021,3,403.88,26.82
Ahmedabad,31-08-2021,3,627.52,9.12
Ahmedabad,01-09-2021,5,1708.98,0
Ahmedabad,02-09-2021,5,1281.74,0
Ahmedabad,03-09-2021,2,310.42,10.82
Ahmedabad,04-09-2021,2,290.39,15.38
Ahmedabad,05-09-2021,2,433.92,11.36
Ahmedabad,06-09-2021,2,433.92,17.88
Ahmedabad,07-09-2021,4,714.3,1.7
Ahmedabad,08-09-2021,4,1001.36,0.17
Ahmedabad,09-09-2021,5,1148.22,0
Ahmedabad,10-09-2021,2,467.3,5.68
Ahmedabad,11-09-2021,2,407.22,11
Ahmedabad,12-09-2021,2,527.38,9.21
Ahmedabad,13-09-2021,2,487.33,9.74
Ahmedabad,14-09-2021,5,1842.5,0
Ahmedabad,15-09-2021,5,1108.17,0.07
Ahmedabad,16-09-2021,2,330.45,27.54
Ahmedabad,17-09-2021,2,367.17,9.39
Ahmedabad,18-09-2021,2,453.95,0.18
Ahmedabad,19-09-2021,2,403.88,17.7
Ahmedabad,20-09-2021,2,547.41,10.73
Ahmedabad,21-09-2021,2,514.03,7.87
Ahmedabad,22-09-2021,3,620.84,0.44
Ahmedabad,23-09-2021,3,587.46,3
Ahmedabad,24-09-2021,4,727.65,0.06
Ahmedabad,25-09-2021,4,741.01,0.31
Ahmedabad,26-09-2021,5,1668.93,0
Ahmedabad,27-09-2021,5,1188.28,0.01
Ahmedabad,28-09-2021,5,4379.27,0
Ahmedabad,29-09-2021,4,881.2,41.84
Ahmedabad,30-09-2021,2,427.25,11.62
Ahmedabad,01-10-2021,4,507.36,0.02
Ahmedabad,02-10-2021,5,1428.6,0.78
Ahmedabad,03-10-2021,5,1535.42,0
Ahmedabad,04-10-2021,5,1482.01,0.01
Ahmedabad,05-10-2021,5,3578.19,0
Ahmedabad,06-10-2021,5,1468.66,0
Ahmedabad,07-10-2021,5,4432.68,0
Ahmedabad,08-10-2021,5,6942.75,0
Ahmedabad,09-10-2021,5,881.2,32.54
Ahmedabad,10-10-2021,4,894.55,8.94
Ahmedabad,11-10-2021,5,2937.32,0
Ahmedabad,12-10-2021,5,1321.79,0.1
Ahmedabad,13-10-2021,5,7049.56,0
Ahmedabad,14-10-2021,5,3471.37,0
Ahmedabad,15-10-2021,5,3417.97,0
Ahmedabad,16-10-2021,5,3337.86,0
Ahmedabad,17-10-2021,5,2563.48,0
Ahmedabad,18-10-2021,5,2189.64,0
Ahmedabad,19-10-2021,5,801.09,31.11
Ahmedabad,20-10-2021,5,1922.61,0
Ahmedabad,21-10-2021,5,3685,0
Ahmedabad,22-10-2021,5,9826.66,0
Ahmedabad,23-10-2021,4,607.49,49.35
Ahmedabad,24-10-2021,2,353.81,57.94
Ahmedabad,25-10-2021,5,974.66,1.41
Ahmedabad,26-10-2021,5,3017.43,0
Ahmedabad,27-10-2021,5,1201.63,3.09
Ahmedabad,28-10-2021,5,1148.22,2.73
Ahmedabad,29-10-2021,5,1121.52,2.39
Ahmedabad,30-10-2021,5,2216.34,0
Ahmedabad,31-10-2021,5,1201.63,9.03
Ahmedabad,01-11-2021,5,2590.18,0
Ahmedabad,02-11-2021,5,1081.47,33.97
